"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player530","Guaita","Henderson","Boly","Alexander-Arnold","Wan-Bissaka","Aurier","Tarkowski","McNeil","Henderson","McArthur","De Bruyne","Saint-Maximin","Martial","Kane","Maupay",2161,100,TRUE
"Player238","Schmeichel","McCarthy","Azpilicueta","Jonny","Doherty","Robertson","Stevens","Hourihane","Salah","Lundstram","Neves","Shelvey","Martial","McBurnie","Vardy",2161,99.5,TRUE
"Player861","Ryan","Schmeichel","Targett","van Dijk","Alexander-Arnold","Keane","Baldock","Mané","Sterling","Jorginho","Norwood","Noble","Ings","McBurnie","Richarlison",2160,100,TRUE
"Player989","Schmeichel","Lloris","Doherty","Alexander-Arnold","van Dijk","Robertson","Walker","Jorginho","Ritchie","Grealish","Hourihane","Son","Wood","Abraham","Martial",2160,99,TRUE
"Player477","Patrício","Pope","Stevens","Doherty","Cresswell","Söyüncü","Evans","Harry Wilson","Mahrez","Trossard","McNeil","Pépé","Jiménez","Ings","Vardy",2160,99.5,TRUE
"Player28","Patrício","Dubravka","Alexander-Arnold","Stevens","Alderweireld","Jonny","Tarkowski","Armstrong","Traoré","Mahrez","Shelvey","Barnes","Vardy","Rodriguez","Ings",2160,97.5,TRUE
"Player606","Dubravka","Ryan","Alexander-Arnold","Söyüncü","Tarkowski","Stevens","Burn","Lundstram","Mahrez","Grealish","Mount","Fleck","Firmino","Jiménez","Calvert-Lewin",2160,97,TRUE
"Player319","Guaita","Schmeichel","Lindelöf","Webster","Alonso","Alexander-Arnold","Aurier","Trossard","Fornals","De Bruyne","Rodrigo","Neves","Jiménez","Martial","Ings",2160,100,TRUE
"Player929","Leno","Dubravka","Robertson","Doherty","van Dijk","Chilwell","Alexander-Arnold","Pröpper","Shelvey","Almirón","Pérez","Armstrong","Calvert-Lewin","Ings","Vardy",2160,96.5,TRUE
"Player676","Dubravka","Pope","Coady","Fernández","Tarkowski","Alexander-Arnold","Stevens","Zaha","Traoré","Rashford","Jorginho","Sigurdsson","Abraham","Martial","Richarlison",2160,98.5,TRUE
